,GeoFips,MSA
307,41540,"Salisbury, MD-DE"
308,41620,"Salt Lake City, UT"
309,41660,"San Angelo, TX"
310,41700,"San Antonio-New Braunfels, TX"
311,41740,"San Diego-Chula Vista-Carlsbad, CA"
312,41860,"San Francisco-Oakland-Berkeley, CA"
313,41940,"San Jose-Sunnyvale-Santa Clara, CA"
314,42020,"San Luis Obispo-Paso Robles, CA"
315,42100,"Santa Cruz-Watsonville, CA"
316,42140,"Santa Fe, NM"
317,42200,"Santa Maria-Santa Barbara, CA"
318,42220,"Santa Rosa-Petaluma, CA"
319,42340,"Savannah, GA"
320,42540,"Scranton--Wilkes-Barre, PA"
321,42660,"Seattle-Tacoma-Bellevue, WA"
322,42680,"Sebastian-Vero Beach, FL"
323,42700,"Sebring-Avon Park, FL"
324,43100,"Sheboygan, WI"
325,43300,"Sherman-Denison, TX"
326,43340,"Shreveport-Bossier City, LA"
327,43420,"Sierra Vista-Douglas, AZ"
328,43580,"Sioux City, IA-NE-SD"
329,43620,"Sioux Falls, SD"
330,43780,"South Bend-Mishawaka, IN-MI"
331,43900,"Spartanburg, SC"
332,44060,"Spokane-Spokane Valley, WA"
333,44100,"Springfield, IL"
334,44140,"Springfield, MA"
335,44180,"Springfield, MO"
336,44220,"Springfield, OH"
337,44300,"State College, PA"
338,44420,"Staunton, VA *"
339,44700,"Stockton, CA"
340,44940,"Sumter, SC"
341,45060,"Syracuse, NY"
342,45220,"Tallahassee, FL"
343,45300,"Tampa-St. Petersburg-Clearwater, FL"
344,45460,"Terre Haute, IN"
345,45500,"Texarkana, TX-AR"
346,45540,"The Villages, FL"
347,45780,"Toledo, OH"
348,45820,"Topeka, KS"
349,45940,"Trenton-Princeton, NJ"
350,46060,"Tucson, AZ"
351,46140,"Tulsa, OK"
352,46220,"Tuscaloosa, AL"
353,46300,"Twin Falls, ID"
354,46340,"Tyler, TX"
355,46520,"Urban Honolulu, HI"
356,46540,"Utica-Rome, NY"
357,46660,"Valdosta, GA"
358,46700,"Vallejo, CA"
359,47020,"Victoria, TX"
360,47220,"Vineland-Bridgeton, NJ"
361,47260,"Virginia Beach-Norfolk-Newport News, VA-NC *"
362,47300,"Visalia, CA"
363,47380,"Waco, TX"
364,47460,"Walla Walla, WA"
365,47580,"Warner Robins, GA"
366,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV *"
367,47940,"Waterloo-Cedar Falls, IA"
368,48060,"Watertown-Fort Drum, NY"
369,48140,"Wausau-Weston, WI"
370,48260,"Weirton-Steubenville, WV-OH"
371,48300,"Wenatchee, WA"
372,48540,"Wheeling, WV-OH"
373,48620,"Wichita, KS"
374,48660,"Wichita Falls, TX"
375,48700,"Williamsport, PA"
376,48900,"Wilmington, NC"
377,49020,"Winchester, VA-WV *"
378,49180,"Winston-Salem, NC"
379,49340,"Worcester, MA-CT"
380,49420,"Yakima, WA"
381,49620,"York-Hanover, PA"
382,49660,"Youngstown-Warren-Boardman, OH-PA"
383,49700,"Yuba City, CA"
384,49740,"Yuma, AZ *"
