MSA,Year,HPI
"Chattanooga, TN-GA",2000,99.09500000000001
"Cheyenne, WY",2000,98.20416666666665
"Chicago-Naperville-Elgin, IL-IN-WI",2000,97.17750000000001
"Chico, CA",2000,95.00666666666666
"Cincinnati, OH-KY-IN",2000,99.33916666666666
"Clarksville, TN-KY",2000,100.04916666666666
"Cleveland, TN",2000,98.945
"Cleveland-Elyria, OH",2000,99.76416666666667
"Coeur d'Alene, ID",2000,100.72916666666667
"College Station-Bryan, TX",2000,97.82916666666667
"Colorado Springs, CO",2000,97.3925
"Columbia, MO",2000,99.10666666666667
"Columbia, SC",2000,98.90249999999999
"Columbus, GA-AL",2000,99.13749999999999
"Columbus, IN",2000,100.09166666666668
"Columbus, OH",2000,99.11166666666666
"Corpus Christi, TX",2000,98.81666666666668
"Corvallis, OR",2000,99.84083333333335
"Crestview-Fort Walton Beach-Destin, FL",2000,98.01083333333334
"Cumberland, MD-WV",2000,100.79416666666667
"Dallas-Fort Worth-Arlington, TX",2000,97.80666666666666
"Dalton, GA",2000,99.09083333333335
"Danville, IL",2000,100.23666666666666
"Daphne-Fairhope-Foley, AL",2000,98.825
"Davenport-Moline-Rock Island, IA-IL",2000,99.2975
"Dayton, OH",2000,100.375
"Decatur, AL",2000,99.91083333333331
"Decatur, IL",2000,99.6025
"Deltona-Daytona Beach-Ormond Beach, FL",2000,96.64166666666665
"Denver-Aurora-Lakewood, CO",2000,95.70416666666665
"Des Moines-West Des Moines, IA",2000,98.8825
"Detroit-Warren-Dearborn, MI",2000,98.44583333333333
"Dothan, AL",2000,99.72166666666668
"Dover, DE",2000,98.91416666666667
"Dubuque, IA",2000,99.02166666666666
"Duluth, MN-WI",2000,96.955
"Durham-Chapel Hill, NC",2000,98.28666666666668
"East Stroudsburg, PA",2000,98.19416666666666
"Eau Claire, WI",2000,99.16666666666667
"El Centro, CA",2000,97.435
"Elizabethtown-Fort Knox, KY",2000,99.45166666666665
"Elkhart-Goshen, IN",2000,99.44416666666665
"Elmira, NY",2000,97.80833333333332
"El Paso, TX",2000,99.95833333333336
"Enid, OK",2000,99.23416666666667
"Erie, PA",2000,99.45583333333333
"Eugene, OR",2000,100.49416666666667
"Evansville, IN-KY",2000,99.55083333333333
"Fairbanks, AK",2000,98.92999999999999
"Fargo, ND-MN",2000,99.29666666666667
"Farmington, NM",2000,100.15916666666668
"Fayetteville, NC",2000,99.93166666666667
"Fayetteville-Springdale-Rogers, AR-MO",2000,98.745
"Flagstaff, AZ",2000,98.49833333333333
"Flint, MI",2000,99.16166666666665
"Florence, SC",2000,99.46583333333335
"Florence-Muscle Shoals, AL",2000,100.53583333333334
"Fond du Lac, WI",2000,100.33666666666669
"Fort Collins, CO",2000,96.73833333333333
"Fort Smith, AR-OK",2000,99.39333333333333
"Fort Wayne, IN",2000,99.84749999999998
"Fresno, CA",2000,97.76916666666666
"Gadsden, AL",2000,99.48333333333333
"Gainesville, FL",2000,97.92916666666667
"Gainesville, GA",2000,98.03583333333334
"Gettysburg, PA",2000,99.96
"Glens Falls, NY",2000,98.04916666666668
"Goldsboro, NC",2000,98.9325
"Grand Forks, ND-MN",2000,99.89916666666669
"Grand Island, NE",2000,99.77083333333336
"Grand Junction, CO",2000,98.32833333333333
