"CAINC30 Economic Profile"
"Personal income (Thousands of dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",1287556,1475763,1672669,1931675,2213246,2498475,2874184,3295435,3657562,4258129,4928128,5676806,6636769,7620658,8803015,10311423,11666538,12187544,12383763,13117712,14083859,15544953,16505681,18131918,19850908,21711558,23996690,26309157,29242714,33990403,38176788,41785194,46287123,45954032,46637119,47656359,52344576,58694122,62599379,67819889,65884392,70355303,77881693,85635903,88954305,97179427,103077251,108054841,118651329,129146253,138028065
"12540","Bakersfield, CA (Metropolitan Statistical Area)",1273392,1357079,1464866,1593327,1818667,2156400,2343300,2763966,2921259,3216417,3830294,4498790,4819966,5253132,5467802,6028100,6466455,6902908,7159440,7851244,8365507,9089058,9706159,10190092,10682018,10926342,11322808,11936703,12276732,13034202,13408479,14244286,15261795,16210220,17352019,18726154,20176085,21757840,23435629,24160612,24003563,26097169,27742981,29468514,30412531,32513120,33334249,33286588,34063749,35566558,37666752
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",8660693,9420898,10314326,11336168,12535270,13835894,14987764,16344005,17827450,19889912,21951910,24628751,27264037,29340768,31328742,34416475,37069457,39775035,42482919,46438466,49698479,52649611,54612636,57198936,59178785,61769826,64703504,67881395,71926659,77241641,82273178,88618199,92560218,96206347,100100963,106048601,112150514,119250613,124913017,129517393,128216434,132299439,139408288,143713198,144540375,150789783,156931804,161864493,167288930,173683854,179169101
"12620","Bangor, ME (Metropolitan Statistical Area)",373889,412911,446233,493117,547346,609213,676072,768008,825136,906943,1012641,1130404,1233592,1318547,1423485,1571009,1663854,1763093,1924212,2126846,2296550,2369319,2427871,2537917,2641980,2748288,2813406,2933552,3069151,3244052,3380462,3619362,3764976,3933874,4063672,4220397,4390723,4560894,4734057,4979937,5115954,5134339,5326232,5387976,5390675,5581170,5756406,5864423,6034142,6317871,6563124
"12700","Barnstable Town, MA (Metropolitan Statistical Area)",417658,467126,537720,614361,686560,756444,852195,966532,1092583,1240807,1423153,1650105,1884653,2110736,2322750,2673043,2952928,3250014,3609563,3929722,4047024,4324877,4390932,4695441,5029717,5348810,5724396,6153648,6543178,7112759,7697609,8137835,8941917,9026209,9336749,9995700,10019742,10430717,10666425,10930166,10908145,11312044,11901890,12495574,12667996,13304509,14001940,14579039,15181333,15949290,16492955
"12940","Baton Rouge, LA (Metropolitan Statistical Area)",1458064,1576705,1725983,1908876,2128227,2510325,2860666,3361442,3787782,4310005,4894769,5794087,6544973,7021091,7409501,7934245,8318930,8282498,8349337,8944025,9685431,10505643,11167565,12227368,12720232,13643641,14340950,15038603,15646016,16616130,17212927,18239434,19062236,19694214,20464132,22017831,24036762,26390676,28526821,30533652,30340891,31287421,33172504,34395833,35050425,36384121,37188072,38014545,39172207,41153342,42264278
"12980","Battle Creek, MI (Metropolitan Statistical Area)",557383,576982,628950,692203,761421,806447,895883,980447,1061283,1163902,1263112,1339901,1452074,1516735,1553984,1638441,1757818,1850392,1979736,2065989,2213983,2323434,2438165,2590929,2677654,2839825,2937277,3039351,3245454,3355539,3417748,3485199,3569859,3694596,3776090,3872604,3958299,4015672,4138770,4309831,4225773,4337337,4446794,4565662,4600038,4734379,4970151,5065180,5153616,5249396,5400823
"13020","Bay City, MI (Metropolitan Statistical Area)",414066,420933,464555,499669,561721,621936,662994,755195,862681,949558,1037742,1133350,1220646,1263933,1328915,1423673,1499357,1564800,1621964,1719331,1800018,1911834,1975535,2096904,2183299,2305243,2388194,2481873,2598926,2669199,2780814,2927851,2984729,2973868,3040997,3104842,3136649,3244442,3342207,3486594,3451493,3591408,3714333,3764382,3768444,3883372,4048099,4110220,4175285,4393535,4502212
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",1161487,1268763,1361243,1465378,1595091,1866689,2099877,2433248,2732982,3028635,3398038,3804414,4351761,4608441,4786974,4958816,5037053,4977167,4951714,5230939,5548188,5847435,6315312,6782115,6782988,7058971,7365188,7560135,8200582,8689169,8653651,9122408,9474613,9634078,10009459,10171481,10809511,11556355,12173046,13091885,12997381,13655532,14267076,14973569,14656804,15903939,16485366,16491469,17018856,17382152,17751250
"13220","Beckley, WV (Metropolitan Statistical Area)",294496,342410,383565,443014,494158,546723,645359,746571,810403,912215,1002767,1093976,1191482,1276557,1281513,1375395,1419473,1440289,1461495,1512726,1579755,1664276,1766203,1881320,1958201,2069106,2183086,2290661,2377498,2497818,2537843,2635309,2818716,2919090,2920825,2998233,3146912,3345516,3330674,3558327,3666513,3831216,4205227,4273243,4167737,4231288,4301190,4140593,4372759,4605556,4761221
"13380","Bellingham, WA (Metropolitan Statistical Area)",280795,321153,369028,389183,434564,490746,557944,635961,703824,799446,911802,996713,1078348,1133041,1242287,1327116,1418833,1522449,1620055,1754371,1979145,2262361,2452464,2607648,2718753,2901284,3067945,3318052,3505782,3780621,3967522,4193722,4518844,4592391,4948278,5356477,5703008,6181036,6777392,7255663,7129058,7414196,7817746,8308744,8327605,8774297,9307821,9722678,10284959,11139242,11672154
"13460","Bend, OR (Metropolitan Statistical Area)",108129,124676,143502,168880,196159,221209,256795,308998,369658,443826,525431,573952,618235,640723,709259,791075,857434,914324,978932,1091408,1226870,1392418,1539726,1680779,1848330,1982640,2150396,2353833,2516282,2760623,2951696,3239605,3519435,3647552,3867974,4177852,4669326,5347666,5672059,5887174,5441052,5493841,5869857,6354749,6805466,7343291,8275134,8985844,9812799,10672155,11159204
"13740","Billings, MT (Metropolitan Statistical Area)",351872,387724,428239,494251,546169,621923,696796,779439,884007,1010416,1127171,1253096,1418994,1537907,1633178,1756357,1807258,1811650,1856371,1924229,2083790,2186194,2329100,2486328,2644898,2798809,2945662,3079337,3232424,3459330,3566623,3834193,3981393,4077183,4312089,4687756,5038739,5441236,5888403,6265573,6150664,6464005,6944674,7571769,7651979,8156468,8482472,8530962,9054678,9461062,9802775
