"CAINC30 Economic Profile"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"12980","Battle Creek, MI (Metropolitan Statistical Area)",63899,62407,63123,64437,66077,66005,64320,66464,67485,68846,69077,65129,62898,59788,59063,59859,61694,62869,66233,66844,67838,69258,71364,72964,73362,75666,78757,77972,80495,78310,75611,75174,77978,77978,76411,76704,75646,74704,74215,72227,68941,68650,69084,68495,69546,70343,71329,71238,70762,69915,69503
"13020","Bay City, MI (Metropolitan Statistical Area)",41278,39729,39422,39885,41851,41896,40211,41485,43222,43662,43509,41737,42279,40466,40371,40939,41442,42479,43197,44027,44282,45908,45846,46227,46432,47608,49673,51133,52171,51665,52077,53512,52307,51737,51158,51482,50662,50201,50347,49858,47922,47473,47644,48000,48195,48039,47387,47534,46693,46538,47440
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",136265,137330,138305,139671,144491,151143,151237,161151,167362,171119,176281,174519,183692,176744,169848,169565,165698,157807,161799,164610,164987,170986,180406,179889,180011,179610,183110,183666,190627,194777,193452,196236,193752,192762,193921,191526,195198,203221,206608,209036,204734,203230,207905,207797,204946,210516,212293,208914,209653,213442,215386
"13220","Beckley, WV (Metropolitan Statistical Area)",33837,34722,35712,38148,39217,40310,43351,46063,46317,47908,46987,46598,46263,45744,43320,44190,44214,43044,42517,42630,42806,43965,44633,45282,46344,48415,50747,52378,53304,54760,54481,54322,54716,54883,54029,55171,56027,56871,57277,57762,56337,56736,58011,58220,56917,56258,55280,53368,53653,53860,54761
"13380","Bellingham, WA (Metropolitan Statistical Area)",32966,34551,37206,36628,38054,39342,41368,44257,46132,48497,50544,50074,50010,49658,51784,52881,53901,56022,58864,62798,67307,73036,74567,77046,78697,82327,83655,86113,88181,89503,91585,93409,94252,96470,99418,102987,107985,110385,114493,114978,110709,109057,110303,112790,115116,117166,119694,123395,126290,129134,131309
"13460","Bend, OR (Metropolitan Statistical Area)",12947,13667,15106,16767,18403,18902,19706,22354,25288,28444,30620,30066,29334,27771,29659,31566,33037,34685,35621,38234,41660,45455,46995,48397,51071,54760,57626,60831,64237,66592,70590,74782,76099,77415,80405,86200,92848,98924,102267,98956,92268,90538,91525,92973,96988,103030,109469,114971,119795,124441,127797
"13740","Billings, MT (Metropolitan Statistical Area)",43803,44784,46384,48788,51919,54472,55366,59115,61995,65872,67269,66475,68012,68923,70459,72880,72543,71798,71895,74390,75800,76682,78682,81206,83114,87004,88139,90616,91387,94168,96026,97833,99701,100724,101673,104544,106966,108832,112638,113507,111282,110687,112650,114730,115007,116397,119090,119826,120243,121330,122698
"13780","Binghamton, NY (Metropolitan Statistical Area)",118224,117119,116349,117444,120927,121541,119091,120675,124414,128940,130555,129633,129925,129662,128801,135188,139580,140401,140900,145553,143469,142457,139936,138396,137687,136661,134001,132577,134726,134427,138052,141139,139580,136479,134838,134828,135172,136660,139310,139391,135666,133187,132381,131868,130482,129528,128347,128163,126882,127507,127623
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)",336115,339189,342771,354810,369708,379432,379941,387167,400462,414839,423566,416301,409432,401491,403462,419281,433876,448044,460819,475038,481695,492088,494712,503007,516698,524531,540012,549878,563132,576169,584344,590606,591371,589367,589756,600389,613937,626827,640584,634784,606607,600850,608220,616845,622895,631022,639514,649415,656458,671189,681778
"13900","Bismarck, ND (Metropolitan Statistical Area)",27921,29430,29583,30687,32567,34151,36105,38696,40678,42642,45083,45600,45187,45360,46326,47239,47538,47595,48852,49781,51555,52908,54515,55770,57442,59882,60725,61687,63083,64969,66643,67825,68045,68452,69556,71510,73520,76118,78226,79890,80758,82274,84543,88020,91075,93393,95082,94904,93750,92989,94128
