CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Population (Number of persons) 3/ ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14500,"Boulder, CO (Metropolitan Statistical Area) *",293358,300137,279468,278768,279728,280241,284243,287428,290859,293190,295037,299957,304570,309323,312233,318027,321250,322441,324636,326196
14540,"Bowling Green, KY (Metropolitan Statistical Area)",135367,136901,138510,140921,143044,145918,149324,151710,154513,156978,159341,160985,162450,164653,166630,169507,171902,174981,176864,179240
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",232720,234513,238129,239758,241960,239806,245054,244105,246912,248800,251681,254297,254339,252401,253387,259232,263142,266289,269276,271473
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",884364,889063,892900,896342,897472,897653,896254,897498,903824,910421,919355,928000,935099,939924,944196,944943,944347,943038,943971,943332
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",336123,342368,350194,358492,366299,373429,380169,386306,393000,400303,407630,413201,415877,417357,419005,419450,421350,422227,422139,423163
15260,"Brunswick, GA (Metropolitan Statistical Area)",93344,95052,96612,98180,99879,101532,104715,107334,109579,111343,112534,112895,113281,113781,114607,115779,116571,117587,118282,118779
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",1169060,1165067,1161678,1159918,1156070,1148563,1141712,1137678,1136364,1135377,1135627,1135562,1134619,1134974,1135060,1133002,1130232,1129882,1129777,1127983
15500,"Burlington, NC (Metropolitan Statistical Area)",131423,133346,135239,136009,137619,139311,141462,144712,147704,149954,151431,152692,153265,154162,155384,157037,160283,163276,166514,169509
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",199600,201361,203052,204201,205652,206637,207426,208232,209332,210435,211538,213235,213962,214827,215676,217152,217447,218975,219939,220411
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",86498,87455,89819,92333,94900,96871,98849,100599,101921,103273,105761,107566,108800,109224,109913,110985,111750,112487,112720,113510
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",406887,406256,406039,406046,405960,405168,405343,405939,406140,405127,404218,403331,403429,403365,403675,402433,401068,399327,398330,397520
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",444311,461037,478889,497662,522431,555029,582678,604716,610984,612297,620449,631053,644197,659834,677232,699644,722649,740000,754470,770577
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",90527,91226,91694,91840,92734,93173,94167,94616,95031,95634,96447,96982,97210,97177,97405,97316,97109,96819,96868,96765
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",133748,134061,133540,134761,135744,136697,137483,137511,137950,138497,139409,139956,138698,140077,139658,139419,138634,137352,136694,135764
16180,"Carson City, NV (Metropolitan Statistical Area)",52568,53472,54503,55234,55995,55982,55410,55288,55552,55401,54981,54676,54312,53726,54082,54068,54147,54532,55202,55916
16220,"Casper, WY (Metropolitan Statistical Area)",66603,66978,67554,68246,69035,69922,70806,72365,73682,75238,75470,76399,78565,81103,81377,82137,80909,79586,79175,79858
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",237950,240145,242099,243272,245108,247265,249524,252709,255503,256896,258440,261028,261916,262706,264300,266312,268224,270653,272061,273032
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",129745,130604,131998,133583,135742,138927,142421,144840,147032,148662,149925,150934,151482,151945,152607,153048,153705,154376,154579,155027
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",196428,198313,200414,203388,205080,207308,210526,213285,214286,216742,218255,219876,221131,222854,224351,225732,226722,226847,226284,226033
16620,"Charleston, WV (Metropolitan Statistical Area)",285694,283588,282476,282146,281718,279823,278691,278207,277793,278370,277805,276817,276704,275412,273606,270858,268130,264227,260280,257074
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",550916,556901,565179,573376,587231,598313,614463,628384,643613,655447,667450,681262,696839,711272,726836,745185,761578,775537,788122,802122
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1753958,1795029,1832361,1867238,1906396,1960753,2035838,2112817,2178593,2222773,2250121,2281230,2318671,2358660,2400483,2447898,2499697,2550373,2592950,2636883
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",174979,177754,180442,182545,184817,188574,191972,194646,197853,200028,201891,203617,205532,206755,209187,211494,213675,216104,217335,218615
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",477630,481798,485957,490089,494709,499564,506473,513100,518778,524082,529131,533621,538103,542181,544183,547205,551859,555953,560832,565194
16940,"Cheyenne, WY (Metropolitan Statistical Area)",81825,82554,83226,84084,85427,85732,86819,87654,89077,90430,92236,92576,94697,95707,96036,96969,97887,98377,98865,99500
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",9113234,9169580,9206032,9233303,9260676,9276302,9297749,9337140,9384555,9429498,9470634,9500870,9528090,9550194,9560430,9552554,9533662,9514113,9484158,9458539
17020,"Chico, CA (Metropolitan Statistical Area)",203807,206193,209120,211481,213065,214752,216824,217469,219034,219777,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2021806,2034543,2042871,2054229,2065605,2077928,2093082,2107318,2118370,2130844,2140715,2146208,2152554,2162060,2172190,2181427,2191572,2202558,2211936,2221208
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",233367,235549,236758,236569,241543,250476,250292,260846,261530,269798,274959,277405,287393,285441,289628,292878,293712,298635,304301,307820
17420,"Cleveland, TN (Metropolitan Statistical Area)",104338,105295,105979,106754,108099,109410,111177,112935,114306,115090,115896,116569,117673,118410,119455,120543,121184,122180,123968,124942
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2147532,2141787,2136201,2131150,2122934,2111699,2099415,2091596,2085110,2081063,2075478,2068989,2064776,2067100,2067356,2064012,2060997,2057238,2053795,2048449
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",109487,111542,113667,116512,121002,125972,129510,132811,135627,137407,138848,140932,142084,143897,146529,149367,153019,157320,161209,165697
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",185760,188315,192016,196234,199374,203500,209014,213000,218658,225114,229458,231435,234148,237816,242830,250567,254391,259123,261335,264728
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",540593,557057,565688,569231,578345,587778,602532,609490,620644,630998,650500,660674,669448,678565,686562,697389,712335,724773,737202,745791
17860,"Columbia, MO (Metropolitan Statistical Area)",162886,165050,167766,170077,172563,176257,180420,183438,185729,188301,190947,194030,196540,198824,200492,202152,204049,205725,206746,208173
17900,"Columbia, SC (Metropolitan Statistical Area)",649567,659125,666087,676083,690421,699160,715091,730546,745740,759400,769646,776195,783250,790842,798882,809136,817188,824939,831690,838433
17980,"Columbus, GA-AL (Metropolitan Statistical Area)",294278,295679,297571,291137,297196,298859,301715,298991,299698,305809,309476,315305,322721,327844,325273,322772,319040,315942,318211,321048
