MSA,city,state_id,lat,lng,MSA
"Chattanooga, TN",Chattanooga,TN,35.0657,-85.2488,"Chattanooga, TN"
"Spokane, WA",Spokane,WA,47.6671,-117.433,"Spokane, WA"
"Syracuse, NY",Syracuse,NY,43.0409,-76.1438,"Syracuse, NY"
"Lancaster, PA",Lancaster,PA,40.0421,-76.3012,"Lancaster, PA"
"Arlington, TX",Arlington,TX,32.6998,-97.125,"Arlington, TX"
"Stockton, CA",Stockton,CA,37.9765,-121.3109,"Stockton, CA"
"Poughkeepsie, NY",Poughkeepsie,NY,41.6949,-73.921,"Poughkeepsie, NY"
"Augusta, GA",Augusta,GA,33.3645,-82.0708,"Augusta, GA"
"Boise, ID",Boise,ID,43.6007,-116.2312,"Boise, ID"
"Oxnard, CA",Oxnard,CA,34.1963,-119.1815,"Oxnard, CA"
"Scranton, PA",Scranton,PA,41.4044,-75.6649,"Scranton, PA"
"Modesto, CA",Modesto,CA,37.6374,-121.0028,"Modesto, CA"
"Kissimmee, FL",Kissimmee,FL,28.3042,-81.4164,"Kissimmee, FL"
"Aurora, CO",Aurora,CO,39.7087,-104.7273,"Aurora, CO"
"Youngstown, OH",Youngstown,OH,41.0993,-80.6463,"Youngstown, OH"
"Fayetteville, AR",Fayetteville,AR,36.0713,-94.166,"Fayetteville, AR"
"Anaheim, CA",Anaheim,CA,33.839,-117.8572,"Anaheim, CA"
"Pensacola, FL",Pensacola,FL,30.4427,-87.1886,"Pensacola, FL"
"Victorville, CA",Victorville,CA,34.5277,-117.3536,"Victorville, CA"
"Lancaster, CA",Lancaster,CA,34.6935,-118.1753,"Lancaster, CA"
"Greensboro, NC",Greensboro,NC,36.0956,-79.8269,"Greensboro, NC"
"Corpus Christi, TX",Corpus Christi,TX,27.726,-97.3755,"Corpus Christi, TX"
"Fort Wayne, IN",Fort Wayne,IN,41.0886,-85.1437,"Fort Wayne, IN"
"Santa Ana, CA",Santa Ana,CA,33.7366,-117.8819,"Santa Ana, CA"
"Flint, MI",Flint,MI,43.0235,-83.6922,"Flint, MI"
"Fayetteville, NC",Fayetteville,NC,35.0846,-78.9776,"Fayetteville, NC"
"Jackson, MS",Jackson,MS,32.3163,-90.2124,"Jackson, MS"
"Santa Rosa, CA",Santa Rosa,CA,38.4458,-122.7067,"Santa Rosa, CA"
"Lansing, MI",Lansing,MI,42.7142,-84.5601,"Lansing, MI"
"San Juan, PR",San Juan,PR,18.4037,-66.0636,"San Juan, PR"
"Lexington, KY",Lexington,KY,38.0423,-84.4587,"Lexington, KY"
"Ann Arbor, MI",Ann Arbor,MI,42.2755,-83.7312,"Ann Arbor, MI"
"Henderson, NV",Henderson,NV,36.0133,-115.038,"Henderson, NV"
"Huntsville, AL",Huntsville,AL,34.6988,-86.6412,"Huntsville, AL"
"Mobile, AL",Mobile,AL,30.6783,-88.1162,"Mobile, AL"
"Fort Collins, CO",Fort Collins,CO,40.5478,-105.0656,"Fort Collins, CO"
"Asheville, NC",Asheville,NC,35.5704,-82.5536,"Asheville, NC"
"Santa Clarita, CA",Santa Clarita,CA,34.4175,-118.4964,"Santa Clarita, CA"
"St. Paul, MN",St. Paul,MN,44.9477,-93.104,"St. Paul, MN"
"Antioch, CA",Antioch,CA,37.9789,-121.7958,"Antioch, CA"
