CAINC30 Economic Profile,,,,,,,,,,,,,,,,,,,,,
Personal income (Thousands of dollars) ,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14260,"Boise City, ID (Metropolitan Statistical Area)",13897107,14159723,14757498,15268356,16431287,17633546,19848409,20808900,20843553,20137994,20737699,21852159,23264918,24408039,26205717,27890191,29185239,31385382,34014138,35872855
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",187074333,193144620,191456821,194740022,205195962,215312270,233311504,245689586,254643531,251395544,265132347,278612314,291048881,293535282,310116458,331613402,345262564,363192458,383529173,397139161
14500,"Boulder, CO (Metropolitan Statistical Area) *",12267341,12705717,11594719,11780716,12093097,12959689,13953505,14611000,15157809,13762807,14889031,15690492,16746365,17540367,18913629,20444932,20997911,22560576,23866572,24962717
14540,"Bowling Green, KY (Metropolitan Statistical Area)",3090485,3215888,3321902,3453781,3696534,3923750,4108251,4326824,4567053,4476122,4732922,4999075,5180670,5263153,5553337,5869334,6010065,6241402,6400089,6652350
14740,"Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",7101007,7345674,7666910,8080898,8620494,9068926,9574469,10011248,10543818,10346466,10639890,10954944,11375132,11372919,12094971,12669582,13288233,14065097,15159557,15982626
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",55098347,58979021,57904478,58066622,61640489,66817392,73925664,81892315,90512632,89508015,95360433,96584971,96932032,91393072,96903612,98831179,101605049,105035532,110852692,114517862
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",5179027,5702060,6093730,6409249,6611838,6983279,7488857,7990931,8543864,8882951,9518840,9962797,10228234,10444514,10836016,11172451,11427833,11662651,12216651,12664258
15260,"Brunswick, GA (Metropolitan Statistical Area)",2499801,2581382,2676667,2834286,3086387,3287084,3559051,3660547,3619856,3463559,3597292,3755089,3786846,3826129,4018568,4301360,4437939,4649984,4963920,5093781
15380,"Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",32826706,32974722,33534588,34640516,36011620,36514174,38358823,40295525,42108452,42515638,43978449,45825295,47450812,47907088,49290908,51464192,52438950,55298925,56783377,59028041
15500,"Burlington, NC (Metropolitan Statistical Area)",3457352,3596372,3658312,3774373,3849857,4003936,4357918,4663288,4856635,4728074,4846334,5052980,5258423,5274613,5541165,5789896,6022761,6287496,6650506,6982583
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",6332014,6635609,6795901,7128643,7508807,7734611,8231337,8659841,9167806,9032205,9289099,9968816,10349481,10566683,11022854,11453310,11722028,12081200,12545471,12929749
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",2640910,2687641,2921897,3178909,3427720,3661019,3927946,4207038,4484205,4684281,4961849,5266435,5364105,5372070,5559929,5798401,5971637,6135724,6404219,6649699
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",10993374,11101978,11264708,11597301,11958523,12327626,12842628,13485476,13949367,13403520,13728976,14677690,15281159,15451303,16096415,16623077,16608410,17180907,17793419,18310362
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",12750292,14327685,14807474,16019330,18558224,20804368,24139351,24796068,25183364,24307032,24256409,26123867,26872504,27257232,30159057,32477798,34758296,36788238,38547795,40119053
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",2178616,2263564,2349826,2456046,2624544,2710284,2860821,3050369,3115934,3107698,3194740,3342327,3555557,3591445,3660776,3843513,3923914,4031349,4155068,4312900
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",2988021,3238030,3366209,3449989,3561647,3698867,3858455,4009563,4211230,4379021,4667562,4823707,4910127,4957077,5027783,5241030,5253618,5371869,5532805,5665870
16180,"Carson City, NV (Metropolitan Statistical Area)",1744594,1248068,1089212,1160361,1175447,1374248,1691496,1623157,1659389,2273150,2431986,2353165,2143871,2191065,2298527,2460841,2478381,2648726,2804115,2933904
16220,"Casper, WY (Metropolitan Statistical Area)",2166083,2125684,2166392,2293141,2425157,2746085,3226012,3334876,3870011,3379285,3727816,4086409,4739759,5061290,5731628,5985905,5146901,4994150,5647104,5764702
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",7268149,7407269,7530786,7674133,8077900,8412840,8929696,9636876,10247831,10164744,10578111,11124960,11742464,11838256,12345774,12873980,13170249,13558514,14218156,14509845
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",3344334,3532853,3634054,3853216,4206501,4562719,4868953,5191638,5345010,5222903,5399921,5723540,5853276,5941372,6245112,6414793,6544207,6833358,7156703,7431056
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",5366600,5715343,5861769,6050545,6337787,6415552,6775646,7191166,7635715,8060309,8410121,8746989,8966705,9388439,9724101,10014008,9920222,10019675,10257582,10536670
16620,"Charleston, WV (Metropolitan Statistical Area)",7407766,7621044,7820068,7878337,7941127,8361125,8875637,9192150,9752154,9734730,9958597,10435810,10700132,10539439,10821159,10917407,10752916,10988466,11503784,11639393
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",14578124,14925849,15626381,16379174,17742524,19398522,21163525,22887083,23329316,22659988,24298555,26414707,28991994,28814936,31348392,33620319,35508365,37940075,40353521,42607758
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",53630608,52696851,54246879,57510558,63998792,70783635,80185178,89841801,100148744,92189215,87057935,92005049,104121182,99619040,106161415,114129669,119997339,128282947,135599272,142170385
16820,"Charlottesville, VA (Metropolitan Statistical Area) *",5697004,5987526,6127862,6539324,7013733,7565042,8298934,8829920,9176418,8868842,9306406,9832169,10721973,10614551,11304444,12018719,12770227,13830689,14721107,15084997
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",13293705,13346875,13632614,14216485,14920367,15591855,16626218,17416582,18109399,17829173,18852194,19941818,21148282,21117583,21829510,22988880,23579212,24714999,25828981,26776612
16940,"Cheyenne, WY (Metropolitan Statistical Area)",2391152,2498278,2643809,2819659,2986146,3137052,3438947,3609700,3971453,3778191,3936992,4407469,4589574,4618438,4734579,4810053,4715999,4888842,5205696,5384262
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",328420542,338420040,341880172,346751379,359884566,377830834,404361337,428756707,435638196,408489123,418681182,439395786,464594859,474410590,503802066,530240862,536083043,554968158,584625041,600616821
17020,"Chico, CA (Metropolitan Statistical Area)",4736566,5162034,5312740,5572089,5950940,6164088,6546945,6853798,7033652,7046609,7309787,7572610,7782000,8069386,8505555,9157915,9583705,9871490,10267576,10490209
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",62810514,65481802,67001585,69029642,72681739,75654735,79965577,82629012,85134504,82678916,86411968,92916761,96458171,97406010,101134873,105851074,109360391,114189768,119565639,124461934
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",5581237,5632663,5974272,6376264,6866815,7715177,8303420,8604879,9216334,9401711,9923549,10801230,10999761,10869085,10995388,11380950,11390730,11895962,12320446,12891821
17420,"Cleveland, TN (Metropolitan Statistical Area)",2441282,2462860,2518984,2659292,2836215,2940967,3143987,3336707,3519071,3431785,3562789,3791567,4032439,4055200,4190490,4379147,4435017,4559534,4784442,4977562
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",68637933,68492966,68663580,70084885,72810885,75099017,79333377,82878544,85237664,80996505,82196381,87465567,91619842,92381865,97007796,100247178,102628391,106170433,110433483,113588996
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",2636481,2811021,2896506,3061336,3333296,3682987,4034820,4301837,4429285,4334696,4461860,4753754,5046300,5245180,5627290,6044776,6332789,6812591,7320336,7728980
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",3767710,4039391,4185553,4517574,4713021,5015996,5445549,5786799,6402506,6535156,6967703,7295098,7754340,8091327,8702990,9074949,9225417,9804510,10583596,11050339
17820,"Colorado Springs, CO (Metropolitan Statistical Area)",16708890,17399701,17768406,18221633,18970055,20162259,21347636,22513235,23411439,23725811,24893157,26527738,27591746,27998446,29680492,31284563,32196056,34135433,36128371,38125082
17860,"Columbia, MO (Metropolitan Statistical Area)",4411124,4625208,4762226,4970753,5364612,5560147,5904839,6230894,6656921,6937274,6958980,7338091,7741194,7996048,8266587,8623812,8883092,9205990,9409471,9884411
